RPC,Address,EHO_Permit_Status,EHO_Permits,Multi_Unit_Permit,SFD_Permit,Demolition_Permit,Development_Project,Construction_Status
18023002,1004 N DANIEL ST,Approved,"ZEHO23-00008 (Approved), ZEHO23-00008 (Approved)",CNEW24-01447: Revisions Required (Commercial New - Building new 6-unit multi family dwelling and associated imp...),RNEW24-06264: Issued Awaiting Insp (New single family dwelling with detached garage....); RNEW24-06264: Finaled (New single family dwelling with detached garage....),DEMO23-00134: Inspection Scheduled; DEMO23-00134: Finaled,1004 N Daniel St (EHO) (ID: 19771) - Status: Approved (Not Under Construction),Complete
36003015,1013 17th ST S,Approved,"ZEHO24-00018 (Approved), ZEHO24-00018 (Approved)",None,None,None,1013 17Th St S (EHO) (ID: 23783) - Status: Approved (Not Under Construction),Not Started
14025004,1021 N STAFFORD ST,Approved,"ZEHO24-00011 (Approved), ZEHO24-00011 (Approved)",CNEW24-06336: Approved-Fees Due (Commercial New - Construction of new multi-unit...); CNEW24-06336: Awaiting LDA Approval (Commercial New - Construction of new multi-unit...),None,DEMO26-00096: Application Complete,1021 N Stafford St (EHO) (ID: 23779) - Status: Approved (Not Under Construction),Not Started
28006040,1052 S EDISON ST,Approved,"ZEHO24-00008 (Approved), ZEHO23-00043 (Void), ZEHO24-00008 (Approved), ZEHO23-00043 (Void)",None,None,None,1052 S Edison St (EHO) (ID: 23778) - Status: Approved (Not Under Construction),Not Started
15083017,1225 N QUINCY ST,Approved,"ZEHO23-00067 (Approved), ZEHO23-00067 (Approved)","RNEW24-05847: Awaiting Plans and Documents (Residential New - new 3 level townhouse unit. 3 stories above grade. 2,366 SF...); RNEW24-05848: Awaiting Plans and Documents (Residential New - new 3 level townhome, 3 stories above grade, 2,524 SF....); RNEW24-05849: Awaiting Plans and Documents (Residential New - new 3 level townhome, 3 levels above grade, 2,405 SF...)",None,DEMO24-00128: Inspection Scheduled; DEMO24-00128: Finaled,1225 N Quincy St (EHO) (ID: 19861) - Status: Under Construction,Underway (via DevProject)
14007006,1227 N UTAH ST,Approved,"ZEHO23-00016 (Approved), ZEHO23-00016 (Approved)",None,None,None,1227 N Utah St (EHO) (ID: 19694) - Status: Approved (Not Under Construction),Not Started
14006001,1301 N UTAH ST,Approved,"ZEHO24-00019 (Approved), ZEHO24-00019 (Approved)",None,RNEW25-01598: Finaled (New Single Family Dwelling...); RNEW25-01598: Issued Awaiting Insp (New Single Family Dwelling...),DEMO25-00125: Finaled; DEMO25-00125: Inspection Scheduled,1301 N Utah St (EHO) (ID: 23784) - Status: Approved (Not Under Construction),Complete
32020004,1508 S WALTER REED DR,Approved,"ZEHO24-00009 (Withdrawn), ZEHO24-00032 (Approved), ZEHO24-00009 (Void), ZEHO24-00032 (In Review)",None,None,None,1508 S Walter Reed Dr (EHO) (ID: 25558) - Status: Approved (Not Under Construction),Not Started
15024014,1712 N VEITCH ST,Approved,"ZEHO26-00004 (Approved), ZEHO26-00004 (Revisions Received)",None,None,None,1712 N Veitch St (EHO) (ID: 25937) - Status: Approved (Not Under Construction),Not Started
08014019,1749 N EDISON ST,Approved,"ZEHO23-00062 (Approved), ZEHO23-00062 (Approved)",None,None,None,1749 N Edison St (EHO) (ID: 23790) - Status: Approved (Not Under Construction),Not Started
