Year,Truly Commercial,Rental Apartments,Condominiums,Other Residential,Official Commercial,Official Residential,Total Official Base,Official Commercial Share (%),Official Residential Share (%),Truly Commercial Share (%),Rental Apartments Share (%),Condominiums Share (%),Other Residential Share (%)
2000,9155445200,2603841600,2125801300,8072426700,11759286800,10198228000,21957514800,53.55472560127797,46.44527439872203,41.69618139116545,11.858544210112521,9.681429430255923,36.7638449684661
2001,9696472800,2947180200,2326006600,9021857200,12643653000,11347863800,23991516800,52.70051537550139,47.299484624498604,40.41625579921649,12.284259576284898,9.695121068793783,37.60436355570482
2002,10477000000,3523567000,2902554600,10927193200,14000567000,13829747800,27830314800,50.30689412108267,49.69310587891733,37.64599888751528,12.66089523356739,10.429470959487674,39.263634919429656
2003,11726908400,3989859100,3847197700,12830285800,15716767500,16677483500,32394251000,48.51715046598855,51.48284953401146,36.20058509764588,12.316565368342673,11.876174263143174,39.60667527086828
2004,12608067500,4291279600,4698199500,14879459200,16899347100,19577658700,36477005800,46.32876720380377,53.67123279619622,34.564425515429775,11.764341688373994,12.879893502662437,40.79133929353379
2005,13965916800,4890832400,6260081800,18267878300,18856749200,24527960100,43384709300,43.46404413962502,56.53595586037498,32.19087329461489,11.273170845010133,14.42923532508261,42.106720535292375
2006,16660667000,5448445600,8230481200,22002913800,22109112600,30233395000,52342507600,42.23930723563576,57.760692764364244,31.83008947014988,10.409217765485886,15.724277604155137,42.0364151602091
2007,18998518600,6925463900,8485651400,22411964100,25923982500,30897615500,56821598000,45.623466098225535,54.37653390177446,33.43538244031785,12.188083657907685,14.933848569341537,39.44268533243292
2008,20396816600,8061168500,8940669400,22303757800,28457985100,31244427200,59702412300,47.66639069289332,52.33360930710668,34.164141471382386,13.502249221510937,14.975390533759054,37.35821877334762
2009,20784521400,8297896000,8869225200,22037062095,29082417400,30906287295,59988704695,48.47982223964238,51.52017776035762,34.64739154758307,13.832430692059303,14.784825318522406,36.73535244183522
2010,18725022580,7789072500,8726870100,21481968000,26514095080,30208838100,56722933180,46.74316646472125,53.25683353527876,33.011379225717256,13.731787239003989,15.385082559653343,37.87175097562541
2011,20485888600,8847124600,8841126700,21921409800,29333013200,30762536500,60095549700,48.8106246576192,51.189375342380806,34.088861325450196,14.721763332169004,14.711782726234052,36.47759261614675
2012,22566621100,10199061000,8777879800,22434476850,32765682100,31212356650,63978038750,51.21395206882612,48.78604793117388,35.27244901673389,15.941503052092232,13.720145180286572,35.06590275088731
2013,22960376600,11560212100,8766872900,24824756500,34520588700,33591629400,68112218100,50.68193293796139,49.318067062038615,33.70962984392957,16.97230309403182,12.871219209347698,36.44684785269091
2014,23393365300,12435390800,9281302100,24402527600,35828756100,33683829700,69512585800,51.54283312533599,48.45716687466401,33.65342409690649,17.889409028429494,13.351973593248204,35.10519328141581
2015,24272093417,13321529800,9755828800,25835902710,37593623217,35591731510,73185354727,51.367686003892146,48.632313996107854,33.165232999882406,18.202453004009747,13.330301993331487,35.302012002776365
2016,24963169200,14089041100,9910410100,26701542500,39052210300,36611952600,75664162900,51.61255844674124,48.38744155325877,32.99206419952345,18.620494247217795,13.097891683673144,35.28954986958562
2017,25737381300,14819699900,10034035700,27589170800,40557081200,37623206500,78180287700,51.876351946451074,48.123648053548926,32.92055076435847,18.955801182092603,12.834482956245246,35.28916509730367
2018,25604249400,15831225500,10255141600,28839520100,41435474900,39094661700,80530136600,51.45337714477439,48.54662285522561,31.794618115673234,19.658759029101162,12.734538935328219,35.81208391989739
2019,26527193284,16894575500,10515900500,29797581420,43421768784,40313481920,83735250704,51.85602051577277,48.14397948422723,31.67983980578541,20.176180709987356,12.558510796334977,35.58546868789226
2020,27192832900,18326822300,10895938200,31252304500,45519655200,42148242700,87667897900,51.92283183511807,48.07716816488194,31.018004938384635,20.90482689673343,12.428652290064775,35.64851587481716
2021,26916903000,18621268400,11566659400,33009358500,45538171400,44576017900,90114189300,50.53385238633001,49.46614761366998,29.869772129215615,20.664080257114403,12.835558406338569,36.63058920733142
2022,27316612700,19257088500,11903029600,35284673800,46573701200,47187703400,93761404600,49.672571991311656,50.327428008688344,29.134176068006557,20.5383959233051,12.695020569263102,37.63240743942524
2023,29136299100,20404960600,12101125900,37256795600,49541259700,49357921500,98899181200,50.09268944281209,49.90731055718791,29.460607000455123,20.632082442356964,12.235820108083969,37.67149044910394
2024,27872767125,21226807239,12247137700,38728627200,49099574364,50975764900,100075339264,49.062610954008065,50.937389045991935,27.85178379607716,21.210827157930904,12.237917742843617,38.69947130314832
2025,26450952400,21855746423,12584286200,40233768100,48306698823,52818054300,101124753123,47.769410882263045,52.23058911773696,26.1567534981541,21.612657384108942,12.444318340825504,39.78627077691145
2026,24846961300,23100063300,12849702900,41608519700,47947024600,54458222600,102405247200,46.8208670072914,53.1791329927086,24.26336733651281,22.55749967077859,12.547895006692587,40.63123798601601
